	SubjectID1	SubjectID2	Group1	Group2	Distance
128	L1S257	L3S313	No	No	0.7701184749603271
129	L1S257	L3S341	No	No	0.7506645917892456
130	L1S257	L3S360	No	No	0.8503125905990601
131	L1S257	L5S155	No	No	0.7352182865142822
132	L1S257	L5S174	No	No	0.7756150364875793
133	L1S257	L5S203	No	No	0.7580954432487488
134	L1S257	L5S222	No	No	0.7626817226409912
135	L1S257	L1S208	No	No	0.3205556869506836
136	L1S281	L1S57	No	No	0.4314346015453339
137	L1S281	L1S76	No	No	0.4166201055049896
138	L1S281	L1S105	No	No	0.4834868311882019
139	L1S281	L2S155	No	No	0.841661274433136
140	L1S281	L2S175	No	No	0.8496544361114502
141	L1S281	L2S204	No	No	0.8447024822235107
142	L1S281	L2S222	No	No	0.8532315492630005
143	L1S281	L3S294	No	No	0.8495741486549377
144	L1S281	L3S313	No	No	0.7704294323921204
145	L1S281	L3S341	No	No	0.751798152923584
146	L1S281	L3S360	No	No	0.8485075831413269
147	L1S281	L5S155	No	No	0.7540757656097412
148	L1S281	L5S174	No	No	0.7761386632919312
149	L1S281	L5S203	No	No	0.7593151926994324
150	L1S281	L5S222	No	No	0.7637815475463867
151	L1S281	L1S208	No	No	0.2393278479576111
152	L1S281	L1S257	No	No	0.1966284811496735
153	L2S309	L1S57	No	No	0.7996089458465576
154	L2S309	L1S76	No	No	0.8030729293823242
155	L2S309	L1S105	No	No	0.7519202828407288
156	L2S309	L2S155	No	No	0.3586807250976562
157	L2S309	L2S175	No	No	0.2854245901107788
158	L2S309	L2S204	No	No	0.369316965341568
159	L2S309	L2S222	No	No	0.4173713624477386
160	L2S309	L3S294	No	No	0.347107470035553
161	L2S309	L3S313	No	No	0.5607836246490479
162	L2S309	L3S341	No	No	0.5542252659797668
163	L2S309	L3S360	No	No	0.3690842092037201
164	L2S309	L5S155	No	No	0.7021680474281311
165	L2S309	L5S174	No	No	0.7212165594100952
166	L2S309	L5S203	No	No	0.665550708770752
167	L2S309	L5S222	No	No	0.6962798237800598
168	L2S309	L1S208	No	No	0.7990712523460388
169	L2S309	L1S257	No	No	0.8045587539672852
170	L2S309	L1S281	No	No	0.8040400147438049
171	L2S357	L1S57	No	No	0.7472042441368103
172	L2S357	L1S76	No	No	0.7203203439712524
173	L2S357	L1S105	No	No	0.7315669655799866
174	L2S357	L2S155	No	No	0.6464847326278687
175	L2S357	L2S175	No	No	0.5697199702262878
176	L2S357	L2S204	No	No	0.625354528427124
177	L2S357	L2S222	No	No	0.6349037289619446
178	L2S357	L3S294	No	No	0.5931867361068726
179	L2S357	L3S313	No	No	0.4207850396633148
180	L2S357	L3S341	No	No	0.3774978518486023
181	L2S357	L3S360	No	No	0.6093689203262329
182	L2S357	L5S155	No	No	0.5517233610153198
183	L2S357	L5S174	No	No	0.5952242016792297
184	L2S357	L5S203	No	No	0.4914643466472626
185	L2S357	L5S222	No	No	0.5463607907295227
186	L2S357	L1S208	No	No	0.731868326663971
187	L2S357	L1S257	No	No	0.7481844425201416
188	L2S357	L1S281	No	No	0.7534782290458679
189	L2S357	L2S309	No	No	0.5439087748527527
190	L2S382	L1S57	No	No	0.8528685569763184
191	L2S382	L1S76	No	No	0.8378846645355225
192	L2S382	L1S105	No	No	0.7902745008468628
193	L2S382	L2S155	No	No	0.6555644869804382
194	L2S382	L2S175	No	No	0.609109103679657
195	L2S382	L2S204	No	No	0.6893085241317749
196	L2S382	L2S222	No	No	0.6472452282905579
197	L2S382	L3S294	No	No	0.6519501209259033
198	L2S382	L3S313	No	No	0.5564467310905457
199	L2S382	L3S341	No	No	0.571399450302124
200	L2S382	L3S360	No	No	0.7172881364822388
201	L2S382	L5S155	No	No	0.6371148228645325
202	L2S382	L5S174	No	No	0.5853258371353149
203	L2S382	L5S203	No	No	0.5573999285697937
204	L2S382	L5S222	No	No	0.6014135479927063
205	L2S382	L1S208	No	No	0.816929042339325
206	L2S382	L1S257	No	No	0.8456104397773743
207	L2S382	L1S281	No	No	0.8388209939002991
208	L2S382	L2S309	No	No	0.64194655418396
209	L2S382	L2S357	No	No	0.5660690069198608
210	L4S63	L1S57	No	No	0.896518349647522
211	L4S63	L1S76	No	No	0.8863292336463928
212	L4S63	L1S105	No	No	0.8566594123840332
213	L4S63	L2S155	No	No	0.5241423845291138
214	L4S63	L2S175	No	No	0.5129099488258362
215	L4S63	L2S204	No	No	0.5334686040878296
216	L4S63	L2S222	No	No	0.5079436302185059
217	L4S63	L3S294	No	No	0.5723661184310913
218	L4S63	L3S313	No	No	0.6926072835922241
219	L4S63	L3S341	No	No	0.6987378001213074
220	L4S63	L3S360	No	No	0.5839467644691467
221	L4S63	L5S155	No	No	0.80354243516922
222	L4S63	L5S174	No	No	0.7968437075614929
223	L4S63	L5S203	No	No	0.7681623101234436
224	L4S63	L5S222	No	No	0.7854754328727722
